图片,价格,地址,说明
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 3360 (每月),"桃林小区4居室-南卧桃林小区4居室-南卧,[浦东源深] 9号线杨高中路,30.8 ㎡ | 06/6层| 4室1厅 合 距离9号线杨高中路站421米 有2间空房",30.8 ㎡ | 06/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"怡心苑4居室-南卧怡心苑4居室-南卧,[浦东外高桥] 6号线港城路,11.9 ㎡ | 05/11层| 4室1厅 合 距离6号线港城路站565米 有2间空房",11.9 ㎡ | 05/11层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"富辰花苑4居室-南卧富辰花苑4居室-南卧,[宝山罗店] 7号线罗南新村,14.6 ㎡ | 01/6层| 4室1厅 合 距离7号线罗南新村站384米 有2间空房",14.6 ㎡ | 01/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2690 (每月),"芳佳苑3居室-南卧芳佳苑3居室-南卧,[浦东北蔡] 7号线芳华路,19.5 ㎡ | 02/6层| 3室1厅 合 距离7号线芳华路站95米",19.5 ㎡ | 02/6层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2460 (每月),"新通国际花园4居室-南卧新通国际花园4居室-南卧,[通州玉桥] 八通线梨园,25 ㎡ | 5/6层| 4室1厅 合 距离八通线梨园站337米",25 ㎡ | 5/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2690 (每月),"龙跃苑三区4居室-南卧龙跃苑三区4居室-南卧,[昌平回龙观] 8号线霍营,29 ㎡ | 6/6层| 4室1厅 合 距离8号线霍营站583米 有2间空房",29 ㎡ | 6/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2560 (每月),"田园风光雅苑4居室-南卧田园风光雅苑4居室-南卧,[昌平回龙观] 8号线平西府,21.3 ㎡ | 6/6层| 4室1厅 合 距离8号线平西府站138米 有2间空房",21.3 ㎡ | 6/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2760 (每月),"天通西苑二区4居室-南卧天通西苑二区4居室-南卧,[昌平天通苑] 5号线天通苑,30 ㎡ | 15/32层| 4室1厅 合 距离5号线天通苑站427米",30 ㎡ | 15/32层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2830 (每月),"首开国风美唐三期4居室-南卧首开国风美唐三期4居室-南卧,[昌平回龙观] 13号线霍营,18.3 ㎡ | 3/18层| 4室1厅 合 距离13号线霍营站22米 有2间空房",18.3 ㎡ | 3/18层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2760 (每月),"天通西苑三区3居室-南卧天通西苑三区3居室-南卧,[昌平天通苑] 5号线天通苑,25 ㎡ | 13/13层| 3室1厅 合 距离5号线天通苑站273米 有2间空房",25 ㎡ | 13/13层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2090 (每月),"云趣园一区4居室-南卧云趣园一区4居室-南卧,[昌平回龙观] 8号线育知路,14 ㎡ | 5/7层| 4室1厅 合 距离8号线育知路站218米 有2间空房",14 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2090 (每月),"日光清城3居室-南卧日光清城3居室-南卧,[通州果园] 八通线果园,15.3 ㎡ | 4/7层| 3室1厅 合 距离八通线果园站168米",15.3 ㎡ | 4/7层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2760 (每月),"天通西苑三区4居室-南卧天通西苑三区4居室-南卧,[昌平天通苑] 5号线天通苑,21.43 ㎡ | 8/32层| 4室1厅 合 距离5号线天通苑站273米",21.43 ㎡ | 8/32层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2690 (每月),"优筑4居室-南卧优筑4居室-南卧,[丰台玉泉营] 10号线首经贸,23 ㎡ | 3/18层| 4室1厅 合 距离10号线首经贸站858米 有2间空房",23 ㎡ | 3/18层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1590 (每月),"碧波园3居室-南卧碧波园3居室-南卧,[房山房山其它] 房山线广阳城,14 ㎡ | 4/6层| 3室1厅 合 距离房山线广阳城站493米",14 ㎡ | 4/6层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1990 (每月),"宏城花园3居室-南卧宏城花园3居室-南卧,[顺义顺义城] 15号线石门,15 ㎡ | 2/5层| 3室1厅 合 距离15号线石门站307米 有2间空房",15 ㎡ | 2/5层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 7160 (每月),"天居园2居室-南天居园2居室-南,[朝阳奥林匹克公园] 5号线立水桥南,73.92 ㎡ | 17/32层| 2室1厅 整 距离5号线立水桥南站323米",73.92 ㎡ | 17/32层| 2室1厅 整
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2330 (每月),"怡海花园富润园4居室-南卧怡海花园富润园4居室-南卧,[丰台科技园区] 9号线科怡路,16.3 ㎡ | 14/18层| 4室1厅 合 距离9号线科怡路站377米 有2间空房",16.3 ㎡ | 14/18层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 4990 (每月),"世纪星城三期2居室-南世纪星城三期2居室-南,[通州果园] 八通线通州北苑,100 ㎡ | 11/32层| 2室1厅 整 距离八通线通州北苑站949米",100 ㎡ | 11/32层| 2室1厅 整
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1790 (每月),"葛布店南里3居室-南卧葛布店南里3居室-南卧,[通州果园] 八通线九棵树,17.46 ㎡ | 5/6层| 3室1厅 合 距离八通线九棵树站370米",17.46 ㎡ | 5/6层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2460 (每月),"建业小区南区4居室-南卧建业小区南区4居室-南卧,[福田竹子林] 1号线(罗宝线)竹子林,18.6 ㎡ | 3/7层| 4室1厅 合 距离1号线(罗宝线)竹子林站437米 有2间空房",18.6 ㎡ | 3/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2490 (每月),"海湾明珠4居室-南卧海湾明珠4居室-南卧,[宝安碧海] 1号线(罗宝线)西乡,15.7 ㎡ | 3/8层| 4室1厅 合 距离1号线(罗宝线)西乡站162米",15.7 ㎡ | 3/8层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2160 (每月),"先科花园4居室-南卧先科花园4居室-南卧,[福田梅林] 4号线(龙华线)莲花北,13.5 ㎡ | 5/7层| 4室1厅 合 距离4号线(龙华线)莲花北站448米 有2间空房",13.5 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1790 (每月),"东晓花园4居室-南卧东晓花园4居室-南卧,[罗湖布心] 5号线(环中线)太安,10.8 ㎡ | 2/7层| 4室1厅 合 距离5号线(环中线)太安站116米 有2间空房",10.8 ㎡ | 2/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2260 (每月),"东安花园4居室-南卧东安花园4居室-南卧,[罗湖百仕达] 5号线(环中线)太安,12.7 ㎡ | 5/7层| 4室1厅 合 距离5号线(环中线)太安站186米 有2间空房",12.7 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2390 (每月),"前海花园4居室-南卧前海花园4居室-南卧,[南山前海] 1号线(罗宝线)大新,13.11 ㎡ | 5/8层| 4室1厅 合 距离1号线(罗宝线)大新站202米 有2间空房",13.11 ㎡ | 5/8层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1830 (每月),"马古岭小区4居室-南卧马古岭小区4居室-南卧,[罗湖翠竹] 3号线(龙岗线)田贝,10.5 ㎡ | 4/8层| 4室1厅 合 距离3号线(龙岗线)田贝站318米",10.5 ㎡ | 4/8层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2560 (每月),"益田花园-二期4居室-南卧益田花园-二期4居室-南卧,[福田皇岗] 3号线(龙岗线)益田,16 ㎡ | 3/6层| 4室1厅 合 距离3号线(龙岗线)益田站702米 有2间空房",16 ㎡ | 3/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1960 (每月),"新新家园4居室-南卧新新家园4居室-南卧,[福田石厦] 3号线(龙岗线)益田,8 ㎡ | 16/32层| 4室1厅 合 距离3号线(龙岗线)益田站323米 有2间空房",8 ㎡ | 16/32层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2360 (每月),"新光活力小区4居室-南卧新光活力小区4居室-南卧,[福田新洲] 3号线(龙岗线)购物公园,15.1 ㎡ | 3/8层| 4室1厅 合 距离3号线(龙岗线)购物公园站841米 有2间空房",15.1 ㎡ | 3/8层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2230 (每月),"锦林新居4居室-南卧锦林新居4居室-南卧,[福田梅林] 2号线(蛇口线)景田,13.35 ㎡ | 6/7层| 4室1厅 合 距离2号线(蛇口线)景田站1067米 有2间空房",13.35 ㎡ | 6/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2490 (每月),"金竹花园4居室-南卧金竹花园4居室-南卧,[福田竹子林] 1号线(罗宝线)竹子林,15.03 ㎡ | 5/7层| 4室1厅 合 距离1号线(罗宝线)竹子林站615米 有2间空房",15.03 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2290 (每月),"益田村4居室-南卧益田村4居室-南卧,[福田石厦] 3号线(龙岗线)益田,13.67 ㎡ | 5/7层| 4室1厅 合 距离3号线(龙岗线)益田站312米 有2间空房",13.67 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2860 (每月),"海月花园一期4居室-南卧海月花园一期4居室-南卧,[南山太古城] 2号线(蛇口线)海月,13.06 ㎡ | 6/6层| 4室1厅 合 距离2号线(蛇口线)海月站285米 有2间空房",13.06 ㎡ | 6/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2490 (每月),"海欣花园4居室-南卧海欣花园4居室-南卧,[南山半岛] 2号线(蛇口线)水湾,16.43 ㎡ | 5/7层| 4室1厅 合 距离2号线(蛇口线)水湾站404米",16.43 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 3390 (每月),"大冲城市花园4居室-南卧大冲城市花园4居室-南卧,[南山科技园] 1号线(罗宝线)高新园,12.77 ㎡ | 6/39层| 4室1厅 合 距离1号线(罗宝线)高新园站426米 有2间空房",12.77 ㎡ | 6/39层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2260 (每月),"福民新村4居室-南卧福民新村4居室-南卧,[福田皇岗] 4号线(龙华线)福民,11.1 ㎡ | 5/7层| 4室1厅 合 距离4号线(龙华线)福民站465米 有2间空房",11.1 ㎡ | 5/7层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2530 (每月),"莲花北村4居室-南卧莲花北村4居室-南卧,[福田莲花] 4号线(龙华线)莲花北,12.22 ㎡ | 12/28层| 4室1厅 合 距离4号线(龙华线)莲花北站851米 有2间空房",12.22 ㎡ | 12/28层| 4室1厅 合
